symbol,open_price,change,percent_change,close_price,type,clientNameEn,exchange,marketCapPrev,sharesOutstanding
CII,12.95,6.350000000000001,49.03474903474905,19.3,s,Ho Chi Minh City Infrastructure Investment Joint Stock Company,HOSE,5240160014850.0,284019513.0
CKG,20.0,4.0,20.0,24.0,s,Kien Giang Construction Investment Consultancy Corporation,HOSE,2238594983500.0,95259361.0
CLC,31.5,3.3999999999999986,10.793650793650789,34.9,s,Cat Loi Joint Stock Company,HOSE,904161613500.0,26207583.0
CLL,25.1,11.149999999999999,44.4223107569721,36.25,s,Cat Lai Port Joint Stock Company,HOSE,1254600000000.0,34000000.0
CLW,24.05,9.05,37.62993762993763,33.1,s,ChoLon Water Supply Joint Stock Company,HOSE,453700000000.0,13000000.0
CMG,39.0,8.799999999999997,22.564102564102555,47.8,s,CMC Corporation,HOSE,7092220597200.0,150577932.0
CMV,10.05,-0.6300000000000008,-6.268656716417918,9.42,s,Ca Mau Trading Joint Stock Company,HOSE,163402812000.0,18155868.0
CMX,7.69,2.46,31.98959687906372,10.15,s,CAMIMEX Group Joint Stock Company,HOSE,1044464647500.0,101898990.0
CNG,23.9,6.75,28.242677824267787,30.65,s,Clean Natural Gas Vietnam Joint Stock Company,HOSE,1017879642000.0,35099298.0
COM,26.9,5.100000000000001,18.959107806691456,32.0,s,Materials - Petroleum Joint Stock Company,HOSE,451860096000.0,14120628.0
CRC,6.39,-0.6899999999999995,-10.798122065727691,5.7,s,Create Capital Viet Nam Joint Stock Company,HOSE,162300000000.0,30000000.0
CRE,9.9,-1.3499999999999996,-13.636363636363633,8.55,s,Century Land Joint Stock Company,HOSE,3625965291320.0,463678426.0
CSM,14.4,-1.8000000000000007,-12.500000000000005,12.6,s,The Southern Rubber Industry Joint Stock Company,HOSE,1316040827400.0,103625262.0
CSV,30.45,12.650000000000002,41.54351395730707,43.1,s,South Basic Chemicals Joint Stock Company,HOSE,1825460000000.0,44200000.0
CTD,32.9,14.899999999999999,45.2887537993921,47.8,s,Coteccons Construction Joint Stock Company,HOSE,4573996361000.0,99219010.0
CTF,32.8,-0.09999999999999432,-0.30487804878047053,32.7,s,City Auto Corporation,HOSE,2614053222250.0,79818419.0
CTG,27.35,2.6999999999999993,9.872029250457036,30.05,s,Vietnam Joint Stock Commercial Bank For Industry and Trade,HOSE,139847342721900.0,4805750609.0
CTI,13.2,1.6500000000000004,12.500000000000004,14.85,s,Cuong Thuan IDICO Development Investment Corporation,HOSE,835699954250.0,54799997.0
CTR,50.4,27.500000000000007,54.56349206349208,77.9,s,Viettel Construction Joint Stock Corporation,HOSE,8773396919300.0,114385879.0
CTS,12.65,16.25,128.4584980237154,28.9,s,Vietnam Bank For Industry And Trade Securities Joint Stock Company,HOSE,3918280546150.0,148701349.0
CVT,41.45,-3.8500000000000014,-9.28829915560917,37.6,s,CMC Joint Stock Company,HOSE,1337382831150.0,36690887.0
D2D,23.0,4.199999999999999,18.260869565217387,27.2,s,Industrial Urban Development Joint - Stock Company No.2,HOSE,801883163000.0,30259742.0
DAG,3.8,0.020000000000000018,0.5263157894736847,3.82,s,Dong A Plastic Group Joint Stock Company,HOSE,221345509760.0,60312128.0
DAH,4.39,0.39000000000000057,8.883826879271083,4.78,s,Dong A Hotel Group Joint Stock Company,HOSE,387320000000.0,84200000.0
DAT,10.15,0.75,7.389162561576354,10.9,s,Travel Investment and Seafood Development Corporation,HOSE,667112102400.0,62935104.0
DBC,14.2,7.699999999999999,54.22535211267605,21.9,s,DABACO Group,HOSE,5154639596700.0,242001859.0
DBD,39.45,16.049999999999997,40.684410646387825,55.5,s,Binh Dinh Pharmaceutical and Medical Equipment Joint Stock Company,HOSE,4273562365400.0,74843474.0
DBT,11.0,1.5500000000000007,14.090909090909099,12.55,s,Ben Tre Pharmaceutical Joint-Stock Company,HOSE,207333557900.0,16325477.0
DC4,6.74,5.16,76.55786350148368,11.9,s,DIC Holdings Construction Joint Stock Company,HOSE,564372022250.0,52499723.0
DCL,24.1,-1.4500000000000028,-6.0165975103734555,22.65,s,Cuu Long Pharmaceutical Joint Stock Corporation,HOSE,1606902660000.0,73041030.0
DCM,26.5,6.25,23.58490566037736,32.75,s,PetroVietnam Camau Fertilizer Joint Stock Company,HOSE,17337850000000.0,529400000.0
DGC,58.9,34.6,58.74363327674024,93.5,s,Ducgiang Chemicals Group Joint Stock Company,HOSE,34559835583000.0,379778413.0
DGW,38.0,19.9,52.368421052631575,57.9,s,Digiworld Corporation,HOSE,9005233298600.0,167072974.0
DHA,33.9,14.700000000000003,43.36283185840709,48.6,s,Hoa An Joint Stock Company,HOSE,711269325900.0,14726073.0
DHC,32.55,12.850000000000001,39.47772657450078,45.4,s,Dong Hai Joint Stock Company of Bentre,HOSE,3541694112000.0,80493048.0
DHG,84.9,32.099999999999994,37.809187279151935,117.0,s,Hau Giang Pharmaceutical Joint Stock Company,HOSE,15258066485700.0,130746071.0
DHM,9.54,-1.459999999999999,-15.303983228511523,8.08,s,Duong Hieu Trading and Mining Joint Stock Company,HOSE,253995096200.0,31396180.0
DIG,14.4,10.700000000000001,74.30555555555556,25.1,s,Development Investment Construction Joint Stock Corporation,HOSE,14240044083250.0,609851995.0
DLG,2.2,0.41999999999999993,19.090909090909086,2.62,s,Duc Long Gia Lai Group Joint Stock Company,HOSE,751267397200.0,299309720.0
DMC,41.0,24.900000000000006,60.73170731707318,65.9,s,Domesco Medical Import - Export Joint Stock Corporation,HOSE,2288539943500.0,34727465.0
DPG,28.3,8.900000000000002,31.4487632508834,37.2,s,Dat Phuong Group Joint Stock Company,HOSE,2220734278500.0,62999554.0
DPM,43.0,-6.100000000000001,-14.18604651162791,36.9,s,Petrovietnam Fertilizer and Chemicals Corporation,HOSE,14870701880000.0,391334260.0
DPR,52.4,-20.9,-39.8854961832061,31.5,s,Dong Phu Rubber Joint Stock Company,HOSE,2706496781800.0,86885932.0
DQC,17.1,1.6499999999999986,9.649122807017536,18.75,s,Dien Quang Group Joint Stock Company,HOSE,483644058300.0,27558066.0
DRC,20.6,2.349999999999998,11.407766990291252,22.95,s,Da Nang Rubber Joint Stock Company,HOSE,2714411024250.0,118792605.0
DRH,4.8,0.5499999999999998,11.45833333333333,5.35,s,DRH Holdings JSC,HOSE,630910116600.0,123707866.0
DRL,65.4,-0.4000000000000057,-0.6116207951070424,65.0,s,Hydro Power Joint Stock Company - Power No.3,HOSE,612750000000.0,9500000.0
DSN,51.6,1.7999999999999972,3.48837209302325,53.4,s,Dam Sen Water Park Corporation,HOSE,642816078800.0,12083009.0
DTA,4.98,2.92,58.63453815261044,7.9,s,De Tam Joint Stock Company,HOSE,132378568560.0,18059832.0
DTL,26.0,-4.199999999999999,-16.153846153846153,21.8,s,Dai Thien Loc Corporation,HOSE,1273250664000.0,60630984.0
DTT,12.25,5.25,42.857142857142854,17.5,s,Do Thanh Technology Corporation,HOSE,142656850000.0,8151820.0
DVP,45.9,18.699999999999996,40.74074074074073,64.6,s,Dinh Vu Port Investment & Development Joint Stock Company,HOSE,2560000000000.0,40000000.0
DXG,12.65,6.249999999999998,49.407114624505915,18.9,s,Dat Xanh Group Joint Stock Company,HOSE,10828059409000.0,610031516.0
DXS,6.69,2.1900000000000004,32.735426008968616,8.88,s,Dat Xanh Real Estate Services Joint Stock Company,HOSE,3792634295490.0,453122377.0
DXV,4.05,-0.29000000000000004,-7.160493827160495,3.76,s,Danang Building Material VICEM Joint Stock Company,HOSE,36135000000.0,9900000.0
E1VFVN30,17.37,2.7699999999999996,15.94703511801957,20.14,,,,,
EIB,27.85,-9.900000000000002,-35.547576301615806,17.95,s,Vietnam Export Import Commercial Joint Stock Bank,HOSE,29159507979000.0,1740866148.0
ELC,9.99,13.26,132.73273273273273,23.25,s,ELCOM Technology Communications Corporation,HOSE,1340157620400.0,58778843.0
EVE,13.85,2.3499999999999996,16.967509025270754,16.2,s,Everpia Joint Stock Company,HOSE,654884458800.0,41979773.0
EVF,8.31,3.889999999999999,46.81107099879661,12.2,s,EVN Finance Joint Stock Company,HOSE,7828727891300.0,702128062.0
EVG,3.3,2.3,69.69696969696969,5.6,s,Everland Group Joint Stock Company,HOSE,1132214137360.0,215249836.0
FCM,3.55,2.0,56.33802816901409,5.55,s,FECON Mining Joint Stock Company,HOSE,246696830430.0,45099969.0
FCN,9.65,4.949999999999999,51.29533678756476,14.6,s,FECON Corporation,HOSE,2282865572500.0,157439005.0
FDC,20.45,-5.75,-28.117359413202937,14.7,s,Foreign Trade Development And Investment Corporation of Ho Chi Minh City,HOSE,567765273600.0,38623488.0
FIR,47.3,-24.299999999999997,-51.37420718816067,23.0,s,First Real Joint Stock Company,HOSE,1432669766300.0,64245281.0
FIT,3.55,1.5499999999999998,43.66197183098591,5.1,s,F.I.T Group Joint Stock Company,HOSE,1631678563200.0,339933034.0
FLC,3.57,-0.06999999999999984,-1.9607843137254857,3.5,s,FLC Group Joint Stock Company,UPCOM,2484992324500.0,709997807.0
FMC,32.35,13.949999999999996,43.122102009273554,46.3,s,Sao Ta Foods Joint Stock Company,HOSE,3243288894400.0,65388889.0
FPT,76.9,15.899999999999991,20.676202860858243,92.8,s,FPT Corporation,HOSE,117091130275000.0,1269968875.0
FRT,69.0,20.0,28.985507246376812,89.0,s,FPT Digital Retail Joint Stock Company,HOSE,12125572621000.0,136242389.0
FTS,18.9,24.6,130.15873015873018,43.5,s,FPT Securities Joint Stock Company,HOSE,8818620965700.0,214564987.0
FUCTVGF3,16.8,-2.3000000000000007,-13.690476190476195,14.5,,,,,
FUCTVGF4,14.85,-1.6999999999999993,-11.447811447811443,13.15,,,,,
FUCVREIT,6.41,0.8899999999999997,13.884555382215282,7.3,,,,,
FUEDCMID,8.1,2.200000000000001,27.160493827160508,10.3,,,,,
FUEIP100,6.72,1.7800000000000002,26.488095238095244,8.5,,,,,
FUEKIV30,6.64,1.0600000000000005,15.963855421686754,7.7,,,,,
FUEKIVFS,8.6,2.17,25.232558139534884,10.77,,,,,
FUEMAV30,11.81,1.9900000000000002,16.850127011007622,13.8,,,,,
FUESSV30,12.48,1.92,15.384615384615383,14.4,,,,,
FUESSV50,14.22,4.33,30.450070323488042,18.55,,,,,
FUESSVFL,14.37,4.279999999999999,29.784272790535837,18.65,,,,,
FUEVFVND,22.36,4.23,18.917710196779964,26.59,,,,,
FUEVN100,12.95,2.5500000000000007,19.6911196911197,15.5,,,,,
GAB,196.4,0.0,0.0,196.4,s,FLC Mining Investment & Asset Management Joint Stock Company,UPCOM,2927143046800.0,14903987.0
GAS,102.0,-11.299999999999997,-11.078431372549016,90.7,s,PetroVietnam Gas Joint Stock Corporation,HOSE,198208662000000.0,2296740000.0
GDT,35.0,-7.199999999999999,-20.57142857142857,27.8,s,Duc Thanh Wood Processing Joint Stock Company,HOSE,590569957800.0,21167382.0
GEG,15.6,0.3000000000000007,1.9230769230769278,15.9,s,Gia Lai Electricity Joint Stock Company,HOSE,5033428664750.0,341249401.0
GEX,12.45,8.350000000000001,67.0682730923695,20.8,s,Gelex Group Joint Stock Company,HOSE,16348719225600.0,851495793.0
GIL,18.8,13.099999999999998,69.68085106382978,31.9,s,Binh Thanh Import Export Production and Trade Joint Stock Company,HOSE,2162977937400.0,69999286.0
GMC,10.35,-0.8499999999999996,-8.212560386473426,9.5,s,Garmex Saigon Coporation,HOSE,296558991000.0,32950999.0
GMD,46.2,20.099999999999994,43.50649350649349,66.3,s,Gemadept Corporation,HOSE,19118659812500.0,305898557.0
GMH,9.91,-0.3200000000000003,-3.2290615539858756,9.59,s,Quang Tri Minh Hung Joint Stock Company,HOSE,161700000000.0,16500000.0
GSP,9.3,4.799999999999999,51.61290322580644,14.1,s,International Gas Product Shipping Joint Stock Company,HOSE,781192230000.0,55799445.0
GTA,12.1,2.950000000000001,24.380165289256208,15.05,s,Thuan An Wood Processing Joint Stock Company,HOSE,156788500000.0,9830000.0
GVR,13.8,5.699999999999999,41.30434782608695,19.5,s,Viet Nam Rubber Group - Joint Stock Company,HOSE,76000000000000.0,4000000000.0
HAG,9.11,-1.3899999999999997,-15.257958287596047,7.72,s,Hoang Anh Gia Lai Corporation,HOSE,7094604514950.0,927399283.0
HAH,32.1,6.699999999999996,20.872274143302167,38.8,s,Hai An Transport and Stevedoring Joint Stock Company,HOSE,3919952129150.0,105516881.0
HAI,1.58,-0.08000000000000007,-5.06329113924051,1.5,s,HAI AGROCHEM Joint Stock Company,UPCOM,274024198500.0,182682799.0
HAP,4.3,0.6500000000000004,15.116279069767453,4.95,s,Hapaco Group Joint Stock Company,HOSE,524757088460.0,110942302.0
HAR,3.53,0.27,7.64872521246459,3.8,s,An Duong Thao Dien Real Estate Trade Joint Stock Company,HOSE,340635360400.0,95684090.0
HAS,6.73,1.42,21.099554234769684,8.15,s,Hacisco Joint Stock Company,HOSE,62400000000.0,7800000.0
HAX,16.3,-1.3000000000000007,-7.97546012269939,15.0,s,Hang Xanh Motors Service Joint Stock Company,HOSE,1281467801250.0,89927565.0
HBC,8.57,-0.39000000000000057,-4.550758459743297,8.18,s,Hoa Binh Construction Group Joint Stock Company,HOSE,2138239506000.0,274133270.0
HCD,5.4,1.7299999999999995,32.037037037037024,7.13,s,HCD Investment Producing And Trading Joint Stock Company,HOSE,255385418560.0,36958816.0
HCM,20.3,10.25,50.49261083743842,30.55,s,Ho Chi Minh City Securities Corporation,HOSE,13259146521000.0,457211949.0
HDB,16.1,1.25,7.763975155279502,17.35,s,Ho Chi Minh City Development Joint Stock Commercial Bank,HOSE,49462615431000.0,2892550610.0
HDC,29.5,1.3000000000000007,4.406779661016952,30.8,s,Ba Ria - Vung Tau House Development Joint Stock Company,HOSE,3897775816850.0,135104881.0
HDG,31.3,-3.150000000000002,-10.063897763578282,28.15,s,Ha Do Joint Stock Company,HOSE,8224859022900.0,305756841.0
HHP,8.09,2.8599999999999994,35.3522867737948,10.95,s,HHP Global Joint Stock Company,HOSE,657452386000.0,62023810.0
HHS,3.6,2.68,74.44444444444444,6.28,s,Hoang Huy Investment Services Joint Stock Company,HOSE,2062134635220.0,347160713.0
HHV,9.9,5.85,59.09090909090908,15.75,s,Deo Ca Traffic Infrastructure Investment Joint Stock Company,HOSE,5335475686200.0,329350351.0
HID,3.15,0.1299999999999999,4.126984126984123,3.28,s,Halcom Vietnam Joint Stock Company,HOSE,244085100780.0,76756321.0
HII,4.13,1.0700000000000003,25.907990314769986,5.2,s,An Tien Industries Joint Stock Company,HOSE,364631929200.0,73663016.0
HMC,9.85,0.5500000000000007,5.583756345177672,10.4,s,VNSTEEL - Ho Chi Minh City Metal Corporation,HOSE,283919989600.0,27299999.0
HNG,4.22,-0.41999999999999993,-9.952606635071088,3.8,s,Hoang Anh Gia Lai Agricultural Joint Stock Company,HOSE,4145991567300.0,1108553895.0
HOT,28.0,-10.100000000000001,-36.07142857142858,17.9,s,Hoi An Tourist Service Joint Stock Company,UPCOM,143198872300.0,7999937.0
HPG,18.3,8.0,43.71584699453552,26.3,s,Hoa Phat Group Joint Stock Company,HOSE,144206685360000.0,5814785700.0
HPX,4.57,0.8899999999999997,19.474835886214432,5.46,s,Hai Phat Investment Joint Stock Company,HOSE,1660760452260.0,304168581.0
HQC,2.66,1.17,43.98496240601503,3.83,s,Hoang Quan Consulting Trading Service Real Estate Corporation,HOSE,1710991393660.0,476599274.0
HRC,55.0,-2.0,-3.6363636363636362,53.0,s,Hoa Binh Rubber Joint Stock Company,HOSE,1658343547800.0,30206622.0
HSG,11.65,8.35,71.67381974248926,20.0,s,Hoa Sen Group,HOSE,11518869178300.0,615982309.0
HSL,4.3,5.000000000000001,116.27906976744188,9.3,s,Hong Ha Food Investment Development Joint Stock Company,HOSE,326943613920.0,35383508.0
HT1,10.4,3.25,31.25,13.65,s,VICEM Ha Tien Cement Joint Stock Company,HOSE,5094225311850.0,381589911.0
HTI,15.95,0.3500000000000014,2.194357366771169,16.3,s,IDICO Infrastructure Development Investment Joint Stock Company,HOSE,422888940000.0,24949200.0
HTL,16.5,-2.4000000000000004,-14.545454545454547,14.1,s,Truong Long Engineering and Auto Joint Stock Company,HOSE,169800000000.0,12000000.0
HTN,12.25,4.25,34.69387755102041,16.5,s,Hung Thinh Incons Joint Stock Company,HOSE,1363481088300.0,89116411.0
HTV,10.85,-1.049999999999999,-9.6774193548387,9.8,s,Logistics Vicem Joint Stock Company,HOSE,126846720000.0,13104000.0
HU1,7.3,0.7500000000000009,10.273972602739738,8.05,s,HUD1 Investment And Construction Joint Stock Company,HOSE,80500000000.0,10000000.0
HU3,5.79,-1.29,-22.27979274611399,4.5,s,HUD3 Investment and Construction Joint Stock Company,UPCOM,43119758528.0,9999944.0
HUB,15.0,2.0,13.333333333333334,17.0,s,Thua Thien Hue Construction Joint Stock Company,HOSE,454962960100.0,26298437.0
HVH,4.79,1.1799999999999997,24.634655532359076,5.97,s,HVC Investment And Technology Joint Stock Company,HOSE,241430290200.0,40644830.0
HVN,13.9,-2.0500000000000007,-14.748201438848927,11.85,s,Vietnam Airlines Joint Stock Company,HOSE,25244093583600.0,2214394174.0
HVX,2.8,0.6200000000000001,22.142857142857146,3.42,s,Vicem Hai Van Cement Joint Stock Company,HOSE,132050295000.0,41525250.0
IBC,2.95,-1.1800000000000002,-40.0,1.77,s,APAX Holdings Joint Stock Company,HOSE,147176669970.0,83150661.0
ICT,13.6,-0.75,-5.514705882352941,12.85,s,Joint Stock Company for Telecoms and Informatics,HOSE,410358750000.0,32185000.0
IDI,11.1,2.3499999999999996,21.171171171171167,13.45,s,I.D.I International Development & Investment Corporation,HOSE,3107348899200.0,227644608.0
IJC,12.15,2.4000000000000004,19.75308641975309,14.55,s,Becamex Infrastructure Development Joint Stock Company,HOSE,3412330496950.0,251832509.0
ILB,24.95,5.650000000000002,22.64529058116233,30.6,s,ICD Tan Cang - Long Binh Joint Stock Company,HOSE,738742686750.0,24502245.0
IMP,60.2,7.799999999999997,12.956810631229231,68.0,s,Imexpharm Pharmaceutical Joint Stock Company,HOSE,4667009900000.0,66671570.0
ITA,4.07,1.9499999999999993,47.91154791154789,6.02,s,Tan Tao Investment and Industry Corporation,HOSE,5263984035750.0,938321575.0
ITC,6.92,3.83,55.346820809248555,10.75,s,Investment and Trading of Real Estate Joint stock Company,HOSE,964147242450.0,95935049.0
ITD,11.45,-0.6999999999999993,-6.113537117903924,10.75,s,Innovative Technology Development Corporation,HOSE,262960082250.0,24461403.0
JVC,3.11,0.4700000000000002,15.112540192926053,3.58,s,Japan Vietnam Medical Investment and Development Joint Stock Company,HOSE,387000588240.0,112500171.0
KBC,24.35,7.75,31.82751540041068,32.1,s,Kinh Bac City Development Holding Corporation,HOSE,23220043959750.0,767604759.0
KDC,65.5,-1.2999999999999972,-1.9847328244274764,64.2,s,KIDO Group Corporation,HOSE,16488059041000.0,257224010.0
KDH,26.9,5.75,21.375464684014872,32.65,s,Khang Dien House Trading and Investment Joint Stock Company,HOSE,22630322927800.0,788512994.0
KHG,4.12,2.13,51.69902912621359,6.25,s,Khai Hoan Land Group Joint Stock Company,HOSE,2642679005400.0,449435205.0
KHP,7.59,1.9000000000000004,25.032938076416343,9.49,s,Khanh Hoa Power Joint Stock Company,HOSE,553716089800.0,58905967.0
KMR,2.88,0.56,19.444444444444446,3.44,s,MIRAE Joint Stock Company,HOSE,192246987660.0,56877807.0
KOS,38.1,1.1999999999999957,3.1496062992125875,39.3,s,KOSY Joint Stock Company,HOSE,8518540532250.0,216481335.0
KPF,12.1,-5.619999999999999,-46.446280991735534,6.48,s,KOJI Asset Investment Joint Stock Company,HOSE,362768756360.0,60867241.0
KSB,19.4,8.05,41.49484536082475,27.45,s,Binh Duong Mineral And Construction Joint Stock Company,HOSE,2059986654000.0,76295802.0
L10,25.0,-2.6000000000000014,-10.400000000000006,22.4,s,Lilama Joint Stock Company No10,HOSE,219296000000.0,9790000.0
LAF,15.3,-1.75,-11.437908496732026,13.55,s,Long An Food Processing Export Joint Stock Company,HOSE,199564657450.0,14728019.0
LBM,40.35,9.350000000000001,23.172242874845107,49.7,s,Lam Dong Minerals And Building Materials Joint Stock Company,HOSE,990000000000.0,20000000.0
LCG,7.6,4.550000000000001,59.86842105263159,12.15,s,Lizen Joint Stock Company,HOSE,2332582233600.0,189640832.0
LDG,4.1,-0.040000000000000036,-0.9756097560975618,4.06,s,LDG Investment Joint stock Company,HOSE,973587911000.0,256207345.0
LEC,5.2,2.0300000000000002,39.03846153846155,7.23,s,Central Power Real Estate Joint Stock Company,HOSE,186876000000.0,26100000.0
LGC,57.0,-6.0,-10.526315789473683,51.0,s,CII Bridges and Roads Investment Joint Stock Company,HOSE,9835593015000.0,192854765.0
LGL,3.04,1.1399999999999997,37.499999999999986,4.18,s,Long Giang Investment and Urban Development Joint-stock Company,HOSE,205988400000.0,51497100.0
LHG,21.8,11.650000000000002,53.44036697247707,33.45,s,Long Hau Corporation,HOSE,1550372310000.0,50012010.0
